segment.id	ID	chrom	loc.start	loc.end	num.mark	seg.mean	copy.number	segment.size.kb
38	DLBCL_Ly3	1	118897326	119643822	438	-0.4914	1.422668959	746.496
39	DLBCL_Ly3	1	119647534	146927800	1975	0.3538	2.555844387	27280.266
40	DLBCL_Ly3	1	146928246	147911581	225	0.6595	3.159070207	983.335
41	DLBCL_Ly3	1	147911645	161184320	8364	0.3661	2.577727929	13272.675
42	DLBCL_Ly3	1	161184857	161352134	119	0.2291	2.34420705	167.277
43	DLBCL_Ly3	1	161352820	161353123	2	-2.2561	0.418674222	0.303
44	DLBCL_Ly3	1	161353370	163553149	1747	0.1973	2.293101159	2199.779
45	DLBCL_Ly3	1	163553187	166891564	2611	0.3442	2.538893713	3338.377
46	DLBCL_Ly3	1	166892204	166892313	2	-2.3878	0.382147103	0.109
47	DLBCL_Ly3	1	166892825	173060819	4140	0.3929	2.62606022	6167.994
48	DLBCL_Ly3	1	173060885	173062877	14	0.154	2.225300241	1.992
49	DLBCL_Ly3	1	173063016	173068451	17	-0.4733	1.440630147	5.435
50	DLBCL_Ly3	1	173068465	176192450	2141	0.2987	2.460071079	3123.985
51	DLBCL_Ly3	1	176193224	179413388	2179	0.3749	2.593499335	3220.164
52	DLBCL_Ly3	1	179413437	180588009	924	0.2569	2.389816754	1174.572
53	DLBCL_Ly3	1	180588067	194981433	9695	0.388	2.617156143	14393.366
54	DLBCL_Ly3	1	194981484	195068266	90	-0.3202	1.601917667	86.782
55	DLBCL_Ly3	1	195068395	201081553	3994	0.3855	2.612624884	6013.158
56	DLBCL_Ly3	1	201082710	204856699	2436	0.3107	2.480618712	3773.989
57	DLBCL_Ly3	1	204861447	206329845	1048	0.4004	2.639747614	1468.398
58	DLBCL_Ly3	1	206330222	210740445	3304	0.2901	2.445450055	4410.223
59	DLBCL_Ly3	1	210742848	211522843	495	0.4688	2.767915691	779.995
60	DLBCL_Ly3	1	211527359	227877780	11142	0.3054	2.471522431	16350.421
61	DLBCL_Ly3	1	227883467	227886807	3	-2.8665	0.274237924	3.34
62	DLBCL_Ly3	1	227887041	230523150	2023	0.2091	2.311933659	2636.109
63	DLBCL_Ly3	1	230525067	230526526	3	-3.4979	0.1770342	1.459
64	DLBCL_Ly3	1	230529635	232354938	1557	0.2793	2.427211793	1825.303
65	DLBCL_Ly3	1	232355445	234497636	1400	0.3718	2.58793252	2142.191
66	DLBCL_Ly3	1	234501376	241741010	5812	0.2559	2.388160834	7239.634
67	DLBCL_Ly3	1	241742776	242021719	229	0.4869	2.802860612	278.943
68	DLBCL_Ly3	1	242022743	244460259	1743	0.2811	2.43024203	2437.516
69	DLBCL_Ly3	1	244460443	246791845	1484	0.3415	2.534146624	2331.402
70	DLBCL_Ly3	1	246798656	246863824	37	-2.2682	0.415177452	65.168
71	DLBCL_Ly3	1	246875180	247190999	147	0.4029	2.644325913	315.819
72	DLBCL_Ly3	2	2772	2921383	2109	-0.2184	1.719036288	2918.611
73	DLBCL_Ly3	2	2921903	7485118	3949	-0.1513	1.800877439	4563.215
74	DLBCL_Ly3	2	7489409	15666775	6066	-0.0532	1.927592376	8177.366
75	DLBCL_Ly3	2	15666935	16414920	539	-0.1913	1.751632351	747.985
76	DLBCL_Ly3	2	16417226	18082373	1320	0.0123	2.017124315	1665.147
77	DLBCL_Ly3	2	18085837	18088100	8	-0.7671	1.175194867	2.263
78	DLBCL_Ly3	2	18088988	19961234	1534	-0.0874	1.882434935	1872.246
79	DLBCL_Ly3	2	19961355	20930541	625	-9.00E-04	1.998752724	969.186
80	DLBCL_Ly3	2	20930921	23671795	1864	-0.1568	1.794025007	2740.874
81	DLBCL_Ly3	2	23675015	34180149	6393	-0.008	1.988940337	10505.134
82	DLBCL_Ly3	2	34180442	34544573	300	-0.1352	1.821087193	364.131
83	DLBCL_Ly3	2	34552819	34590549	47	-1.0237	0.983706609	37.73
84	DLBCL_Ly3	2	34590667	54889880	15187	-0.0356	1.95125185	20299.213
85	DLBCL_Ly3	2	54890277	55945252	706	0.111	2.15995312	1054.975
86	DLBCL_Ly3	2	55946116	57695395	1261	-0.0476	1.935089105	1749.279
87	DLBCL_Ly3	2	57695545	57951877	181	-1.1797	0.882886568	256.332
88	DLBCL_Ly3	2	57954663	65791390	4676	0.0152	2.021183069	7836.727
89	DLBCL_Ly3	2	65792102	68258652	1936	-0.1263	1.832356222	2466.55
90	DLBCL_Ly3	2	68260095	76169268	4974	-0.0083	1.988526792	7909.173
91	DLBCL_Ly3	2	76169587	84378448	5458	-0.1155	1.846124693	8208.861
92	DLBCL_Ly3	2	84378973	88914734	2208	-0.0447	1.938982792	4535.761
93	DLBCL_Ly3	2	88917155	89025919	81	-2.0917	0.469208157	108.764
94	DLBCL_Ly3	2	89029025	89056789	24	-3.5284	0.173330807	27.764
95	DLBCL_Ly3	2	89058724	89278791	65	-1.9183	0.529132156	220.067
96	DLBCL_Ly3	2	89281576	89282341	3	0.5737	2.976671465	0.765
97	DLBCL_Ly3	2	89299555	89334987	11	-1.1179	0.921528059	35.432
98	DLBCL_Ly3	2	89335016	89758657	98	-0.1969	1.744846351	423.641
99	DLBCL_Ly3	2	89758708	89767533	17	-0.9141	1.061349639	8.825
100	DLBCL_Ly3	2	89767583	91165199	141	-0.1151	1.846636618	1397.616
101	DLBCL_Ly3	2	91171454	102651216	4226	-0.0168	1.976845333	11479.762
102	DLBCL_Ly3	2	102655974	111422556	4940	-0.0919	1.876572463	8766.582
103	DLBCL_Ly3	2	111422697	114696644	1901	0.0077	2.010703003	3273.947
104	DLBCL_Ly3	2	114696975	119969817	3516	-0.1073	1.856647585	5272.842
105	DLBCL_Ly3	2	119975923	120729136	331	0.1119	2.161300989	753.213
106	DLBCL_Ly3	2	120734530	123192207	1611	-0.0927	1.875532158	2457.677
107	DLBCL_Ly3	2	123192876	123198699	11	-1.0601	0.959197631	5.823
108	DLBCL_Ly3	2	123200111	126158681	1978	-0.0992	1.867101037	2958.57
109	DLBCL_Ly3	2	126168109	126168507	5	-1.6286	0.646803773	0.398
110	DLBCL_Ly3	2	126169852	127675052	1039	-0.1238	1.835534206	1505.2
111	DLBCL_Ly3	2	127677241	128847622	598	0.0619	2.087679143	1170.381
112	DLBCL_Ly3	2	128848084	135366583	4057	-0.0833	1.887792242	6518.499
113	DLBCL_Ly3	2	135367236	136198650	363	0.1882	2.278682625	831.414
114	DLBCL_Ly3	2	136205448	142952022	4577	-0.0491	1.933078199	6746.574
115	DLBCL_Ly3	2	142954577	146578555	2125	0.0239	2.033408397	3623.978
116	DLBCL_Ly3	2	146580862	146583392	24	0.9066	3.74924473	2.53
117	DLBCL_Ly3	2	146594276	184871228	24037	0.0081	2.011260566	38276.952
118	DLBCL_Ly3	2	184872000	184965317	86	-1.0594	0.959663149	93.317
119	DLBCL_Ly3	2	184969597	184969703	4	1.0697	4.197993695	0.106
120	DLBCL_Ly3	2	184969705	185002931	42	-0.6811	1.247379107	33.226
121	DLBCL_Ly3	2	185003935	198109058	7456	0.0942	2.134946622	13105.123
122	DLBCL_Ly3	2	198111942	201098845	1818	0.006	2.008335086	2986.903
123	DLBCL_Ly3	2	201101364	204994658	2149	0.1376	2.200147124	3893.294
124	DLBCL_Ly3	2	205000471	206361589	1049	-0.043	1.94126894	1361.118
125	DLBCL_Ly3	2	206362719	215266188	5734	0.0528	2.074552259	8903.469
126	DLBCL_Ly3	2	215269271	234639138	12742	-0.3762	1.540928584	19369.867
127	DLBCL_Ly3	2	234639396	237692908	2248	-0.5	1.414213562	3053.512
128	DLBCL_Ly3	2	237698694	239020734	850	-0.3743	1.542959292	1322.04
129	DLBCL_Ly3	2	239024307	241014138	1321	-0.5267	1.388281374	1989.831
130	DLBCL_Ly3	2	241015207	242738117	811	-0.3778	1.539220587	1722.91
131	DLBCL_Ly3	3	35333	751632	640	-0.0046	1.993633202	716.299
132	DLBCL_Ly3	3	752652	753232	2	-2.6843	0.311153849	0.58
133	DLBCL_Ly3	3	755145	4285298	3325	-0.0762	1.897105617	3530.153
134	DLBCL_Ly3	3	4286139	4486102	180	-2.7253	0.302435626	199.963
135	DLBCL_Ly3	3	4486891	12198933	6271	-0.0898	1.879306008	7712.042
136	DLBCL_Ly3	3	12205704	12623849	337	0.2944	2.452749672	418.145
137	DLBCL_Ly3	3	12624576	12691575	115	0.6121	3.056964927	66.999
138	DLBCL_Ly3	3	12695005	16416432	2615	0.2685	2.409109552	3721.427
139	DLBCL_Ly3	3	16416522	18010863	906	0.4078	2.653322427	1594.341
140	DLBCL_Ly3	3	18011250	22355825	2986	0.2782	2.425361841	4344.575
141	DLBCL_Ly3	3	22359351	22359391	2	-2.1782	0.441902501	0.04
142	DLBCL_Ly3	3	22363378	24709143	1534	0.3055	2.47169375	2345.765
143	DLBCL_Ly3	3	24709323	25474305	745	0.1578	2.231169317	764.982
144	DLBCL_Ly3	3	25474322	26401183	762	0.2858	2.438172162	926.861
145	DLBCL_Ly3	3	26409116	26414335	5	-3.06	0.23981603	5.219
146	DLBCL_Ly3	3	26420977	28408150	1357	0.305	2.470837274	1987.173
147	DLBCL_Ly3	3	28408930	28553293	67	0.8269	3.547739302	144.363
148	DLBCL_Ly3	3	28554792	47453501	12469	0.3081	2.47615221	18898.709
149	DLBCL_Ly3	3	47466814	47467712	2	-2.8393	0.279457345	0.898
150	DLBCL_Ly3	3	47472206	54076423	3008	0.3621	2.570590849	6604.217
151	DLBCL_Ly3	3	54076979	56496978	1957	0.1668	2.245131581	2419.999
152	DLBCL_Ly3	3	56500775	60361981	2812	0.3028	2.467072307	3861.206
153	DLBCL_Ly3	3	60363317	60482851	150	-2.9551	0.257902918	119.534
154	DLBCL_Ly3	3	60484618	60725111	284	-0.0161	1.977804737	240.493
155	DLBCL_Ly3	3	60731397	60920851	196	-1.2701	0.829262064	189.454
156	DLBCL_Ly3	3	60925640	62647531	1458	0.3145	2.487161173	1721.891
157	DLBCL_Ly3	3	62647783	66576071	3171	0.1885	2.279156513	3928.288
158	DLBCL_Ly3	3	66578167	68814706	1616	0.2936	2.451389956	2236.539
159	DLBCL_Ly3	3	68828842	68830091	15	1.1885	4.558313026	1.249
160	DLBCL_Ly3	3	68831436	73675558	3727	0.3019	2.465533747	4844.122
161	DLBCL_Ly3	3	73679542	75503848	1252	0.1883	2.278840577	1824.306
162	DLBCL_Ly3	3	75509785	75722584	86	-0.9868	1.009191528	212.799
163	DLBCL_Ly3	3	75728062	90446938	8278	0.3174	2.49216571	14718.876
164	DLBCL_Ly3	3	90447603	116582546	12843	-0.0096	1.986735755	26134.943
165	DLBCL_Ly3	3	116582584	120235085	2614	-0.0819	1.889625056	3652.501
166	DLBCL_Ly3	3	120237417	124164620	2232	0.0558	2.078870658	3927.203
167	DLBCL_Ly3	3	124166032	126060795	1328	-0.0659	1.910698308	1894.763
168	DLBCL_Ly3	3	126061299	127203280	649	0.0575	2.081321739	1141.981
169	DLBCL_Ly3	3	127203326	128608279	972	-0.1455	1.808131996	1404.953
170	DLBCL_Ly3	3	128609140	131269052	1449	-0.0237	1.967413218	2659.912
171	DLBCL_Ly3	3	131269363	131277770	39	-0.832	1.123499903	8.407
172	DLBCL_Ly3	3	131281413	133189374	1203	-0.015	1.979313313	1907.961
173	DLBCL_Ly3	3	133190835	133191149	2	-3.1444	0.226188894	0.314
174	DLBCL_Ly3	3	133197689	138515738	3396	-0.0052	1.992804245	5318.049
175	DLBCL_Ly3	3	138515938	138516104	7	1.221	4.662164793	0.166
176	DLBCL_Ly3	3	138516105	138516111	4	0.2413	2.364114647	0.006
177	DLBCL_Ly3	3	138524171	141812237	2116	-0.0974	1.869432007	3288.066
178	DLBCL_Ly3	3	141812308	154493937	8091	-0.0046	1.993633202	12681.629
179	DLBCL_Ly3	3	154496631	154496686	2	2.763	13.57612643	0.055
180	DLBCL_Ly3	3	154503148	159832812	3188	-0.0147	1.979724942	5329.664
181	DLBCL_Ly3	3	159833566	159834227	2	-2.6335	0.322305341	0.661
182	DLBCL_Ly3	3	159841554	163989212	2658	-0.0233	1.967958776	4147.658
183	DLBCL_Ly3	3	163990860	164108662	75	0.5575	2.943433431	117.802
184	DLBCL_Ly3	3	164108677	194357873	19569	-0.0124	1.982883613	30249.196
185	DLBCL_Ly3	3	194360584	194365585	20	1.686	6.435266968	5.001
186	DLBCL_Ly3	3	194369117	199322963	2754	-0.0081	1.988802479	4953.846
187	DLBCL_Ly3	3	199329601	199333199	11	-0.9861	1.009681309	3.598
188	DLBCL_Ly3	3	199334090	199380503	11	0.0181	2.025249989	46.413
189	DLBCL_Ly3	4	2269	811490	352	0.015	2.020902893	809.221
190	DLBCL_Ly3	4	811553	821381	5	-1.3554	0.781652893	9.828
191	DLBCL_Ly3	4	827273	3131244	982	-0.042	1.942614991	2303.971
192	DLBCL_Ly3	4	3133533	5149982	1214	-0.0796	1.892639972	2016.449
193	DLBCL_Ly3	4	5150110	6473377	1199	-0.1862	1.757835417	1323.267
194	DLBCL_Ly3	4	6473938	7221687	514	-0.0773	1.895659698	747.749
195	DLBCL_Ly3	4	7222628	8371310	872	-0.2175	1.720109014	1148.682
196	DLBCL_Ly3	4	8372356	24634487	12021	-0.093	1.875142193	16262.131
197	DLBCL_Ly3	4	24638915	34455437	6274	-0.0476	1.935089105	9816.522
198	DLBCL_Ly3	4	34462883	34497723	37	-0.7496	1.189536879	34.84
199	DLBCL_Ly3	4	34500566	45891123	7459	-0.0264	1.963734652	11390.557
200	DLBCL_Ly3	4	45898928	45899831	2	-2.63	0.323088208	0.903
201	DLBCL_Ly3	4	45901419	47134700	653	-0.0569	1.92265512	1233.281
202	DLBCL_Ly3	4	47136016	52393393	1096	0.0598	2.084642509	5257.377
203	DLBCL_Ly3	4	52393514	68902978	10681	-0.0528	1.928126892	16509.464
204	DLBCL_Ly3	4	68909431	68970725	12	1.0061	4.016948597	61.294
205	DLBCL_Ly3	4	68977382	69057538	14	-0.0529	1.927993249	80.156
206	DLBCL_Ly3	4	69057743	69166692	63	-1.2667	0.831218691	108.949
207	DLBCL_Ly3	4	69168423	92802479	14610	-0.0034	1.995292149	23634.056
208	DLBCL_Ly3	4	92803964	99070451	3672	-0.0888	1.880609095	6266.487
209	DLBCL_Ly3	4	99079088	110030452	6569	8.00E-04	2.001109343	10951.364
210	DLBCL_Ly3	4	110030490	110033027	3	1.9996	7.997782236	2.537
211	DLBCL_Ly3	4	110033279	114223614	2579	0.006	2.008335086	4190.335
212	DLBCL_Ly3	4	114224658	114224823	3	-1.8387	0.559147185	0.165
213	DLBCL_Ly3	4	114225095	115393093	860	0.0486	2.068521568	1167.998
214	DLBCL_Ly3	4	115393137	115405260	32	0.8591	3.627812768	12.123
215	DLBCL_Ly3	4	115406002	133695361	10905	-0.0256	1.96482388	18289.359
216	DLBCL_Ly3	4	133696732	143737786	6354	0.6048	3.041535831	10041.054
217	DLBCL_Ly3	4	143738062	149042689	3066	0.6747	3.192529609	5304.627
218	DLBCL_Ly3	4	149044263	150042608	668	0.5275	2.882858447	998.345
219	DLBCL_Ly3	4	150043965	154964656	2896	0.6646	3.170257443	4920.691
220	DLBCL_Ly3	4	154965246	161447147	4211	0.5719	2.972959892	6481.901
221	DLBCL_Ly3	4	161447259	165566862	2805	0.6586	3.157100091	4119.603
222	DLBCL_Ly3	4	165570453	169544964	2536	0.5622	2.953038161	3974.511
223	DLBCL_Ly3	4	169546553	169550715	4	-0.9404	1.042176768	4.162
224	DLBCL_Ly3	4	169551257	171501566	1301	0.3077	2.47546577	1950.309
225	DLBCL_Ly3	4	171504507	171509733	8	-1.41	0.752623374	5.226
226	DLBCL_Ly3	4	171510577	171697441	111	0.2363	2.355935431	186.864
227	DLBCL_Ly3	4	171698112	171704105	6	-1.0147	0.989862471	5.993
228	DLBCL_Ly3	4	171707947	172605909	583	0.2823	2.432264289	897.962
229	DLBCL_Ly3	4	172611447	172614496	14	1.2505	4.758477337	3.049
230	DLBCL_Ly3	4	172616934	173224491	407	0.2827	2.432938749	607.557
231	DLBCL_Ly3	4	173225711	173226096	12	1.6954	6.477333382	0.385
232	DLBCL_Ly3	4	173232542	180330688	4482	0.2999	2.46211816	7098.146
233	DLBCL_Ly3	4	180334970	180335320	2	-2.6542	0.317713875	0.35
234	DLBCL_Ly3	4	180338916	181389615	780	0.2559	2.388160834	1050.699
235	DLBCL_Ly3	4	181389955	184747661	2626	0.1801	2.265924827	3357.706
236	DLBCL_Ly3	4	184749848	190432100	4114	-1.2505	0.840605033	5682.252
237	DLBCL_Ly3	4	190432604	190436246	3	-4.5292	0.086617359	3.642
238	DLBCL_Ly3	4	190436753	190776812	208	-1.2508	0.840430253	340.059
239	DLBCL_Ly3	4	190779808	190916698	66	-0.551	1.365093718	136.89
240	DLBCL_Ly3	4	190917315	191168177	136	-1.1648	0.892052176	250.862
241	DLBCL_Ly3	4	191171918	191261892	11	-0.3184	1.603917571	89.974
242	DLBCL_Ly3	5	68520	795388	344	-0.1464	1.807004376	726.868
243	DLBCL_Ly3	5	795657	841048	21	-0.7923	1.154845616	45.391
244	DLBCL_Ly3	5	843589	1867369	581	-0.0662	1.91030103	1023.78
245	DLBCL_Ly3	5	1867564	6280924	4165	-0.2129	1.725602295	4413.36
246	DLBCL_Ly3	5	6282765	9258549	2543	-0.1224	1.837316284	2975.784
247	DLBCL_Ly3	5	9258575	9258700	4	-1.8205	0.566245663	0.125
248	DLBCL_Ly3	5	9267028	12236747	2545	-0.11	1.853176124	2969.719
249	DLBCL_Ly3	5	12236860	12254295	5	-1.7324	0.601901785	17.435
250	DLBCL_Ly3	5	12254736	12872301	318	-0.1429	1.811393518	617.565
251	DLBCL_Ly3	5	12872363	12873064	6	-2.5986	0.330197248	0.701
252	DLBCL_Ly3	5	12877411	16362247	2429	-0.137	1.818816504	3484.836
253	DLBCL_Ly3	5	16365485	21485021	3226	-0.0475	1.93522324	5119.536
254	DLBCL_Ly3	5	21486945	21488183	5	-1.991	0.503128912	1.238
255	DLBCL_Ly3	5	21488241	57357403	20494	-0.0418	1.942884313	35869.162
256	DLBCL_Ly3	5	57361772	57369278	32	1.7779	6.858532879	7.506
257	DLBCL_Ly3	5	57374114	63954189	4236	-0.048	1.934552659	6580.075
258	DLBCL_Ly3	5	63954892	63955381	4	-1.9553	0.515734335	0.489
259	DLBCL_Ly3	5	63957270	134411294	43444	-0.0272	1.962646028	70454.024
260	DLBCL_Ly3	5	134411652	136852560	1846	-0.1259	1.832864329	2440.908
261	DLBCL_Ly3	5	136854773	143624832	3824	-0.0051	1.992942381	6770.059
262	DLBCL_Ly3	5	143624914	147537397	2627	-0.1115	1.851250339	3912.483
263	DLBCL_Ly3	5	147538739	151218387	2579	-0.0093	1.987148928	3679.648
264	DLBCL_Ly3	5	151218863	156235264	3552	-0.0901	1.878915257	5016.401
265	DLBCL_Ly3	5	156239199	160763424	3229	-0.0292	1.959927108	4524.225
266	DLBCL_Ly3	5	160763609	161535663	414	0.2411	2.363786933	772.054
267	DLBCL_Ly3	5	161536500	161537679	3	-1.8269	0.56373928	1.179
268	DLBCL_Ly3	5	161538468	168670016	5098	0.2098	2.313055688	7131.548
269	DLBCL_Ly3	5	168670889	173385197	3532	0.3048	2.470494767	4714.308
270	DLBCL_Ly3	5	173385812	175402918	1538	0.178	2.262628926	2017.106
271	DLBCL_Ly3	5	175408398	177628867	920	0.3291	2.512458907	2220.469
272	DLBCL_Ly3	5	177629782	179959951	1490	0.2319	2.348761133	2330.169
273	DLBCL_Ly3	5	179963737	179963973	2	-2.1375	0.454546565	0.236
274	DLBCL_Ly3	5	179965290	180274501	195	0.1885	2.279156513	309.211
275	DLBCL_Ly3	5	180278678	180350505	33	0.8245	3.541842355	71.827
276	DLBCL_Ly3	5	180350697	180553237	127	0.321	2.498392251	202.54
277	DLBCL_Ly3	5	180558947	180562679	3	1.5791	5.975668016	3.732
278	DLBCL_Ly3	5	180566286	180586791	14	0.3565	2.560632121	20.505
279	DLBCL_Ly3	5	180587870	180722914	36	-0.0314	1.956940646	135.044
280	DLBCL_Ly3	6	94649	198861	124	-0.2912	1.634444059	104.212
281	DLBCL_Ly3	6	199255	239274	26	0.1794	2.26482566	40.019
282	DLBCL_Ly3	6	239431	748660	459	-0.3456	1.573961225	509.229
283	DLBCL_Ly3	6	751682	5437018	3972	-0.4293	1.485244041	4685.336
284	DLBCL_Ly3	6	5437067	5438517	2	-3.0763	0.237121766	1.45
285	DLBCL_Ly3	6	5438967	19558269	10948	-0.4102	1.50503809	14119.302
286	DLBCL_Ly3	6	19560467	19560994	3	-2.6826	0.311520714	0.527
287	DLBCL_Ly3	6	19561408	28087604	5891	-0.4187	1.496196851	8526.196
288	DLBCL_Ly3	6	28088199	35628629	3982	-0.3299	1.591183256	7540.43
289	DLBCL_Ly3	6	35629939	35905769	143	0.1913	2.283584223	275.83
290	DLBCL_Ly3	6	35905827	39066103	2175	0.4315	2.697270104	3160.276
291	DLBCL_Ly3	6	39068231	39497970	365	0.2782	2.425361841	429.739
292	DLBCL_Ly3	6	39498414	40194823	459	0.436	2.705696462	696.409
293	DLBCL_Ly3	6	40195492	40997469	751	0.2837	2.434625718	801.977
294	DLBCL_Ly3	6	40999372	57354730	10511	0.4039	2.646159456	16355.358
295	DLBCL_Ly3	6	57356543	77492866	10542	0.2661	2.405105201	20136.323
296	DLBCL_Ly3	6	77493239	77509523	24	1.1238	4.358404204	16.284
297	DLBCL_Ly3	6	77517792	85636923	5372	0.2728	2.416300693	8119.131
298	DLBCL_Ly3	6	85638032	86314724	476	-0.6064	1.313667351	676.692
299	DLBCL_Ly3	6	86316065	98098725	7483	-0.518	1.396678532	11782.66
300	DLBCL_Ly3	6	98103598	98104041	2	-4.6526	0.079516607	0.443
301	DLBCL_Ly3	6	98106945	103858245	3609	-0.526	1.388955136	5751.3
302	DLBCL_Ly3	6	103858540	103868742	27	-1.7212	0.606592683	10.202
303	DLBCL_Ly3	6	103872151	103923011	45	-0.5019	1.412352298	50.86
304	DLBCL_Ly3	6	103923422	103932209	7	0.4604	2.751846504	8.787
305	DLBCL_Ly3	6	103932568	105725161	1132	-0.5747	1.342851712	1792.593
306	DLBCL_Ly3	6	105725669	112685561	4505	-0.4842	1.429786762	6959.892
307	DLBCL_Ly3	6	112687650	112687662	2	-2.8001	0.287154684	0.012
308	DLBCL_Ly3	6	112687675	121313864	5347	-0.4642	1.449745841	8626.189
309	DLBCL_Ly3	6	121316239	160563306	26438	-0.521	1.393777239	39247.067
310	DLBCL_Ly3	6	160563677	161288644	543	-0.6129	1.307761993	724.967
311	DLBCL_Ly3	6	161288825	161289935	3	1.7064	6.526909339	1.11
312	DLBCL_Ly3	6	161291095	170892918	7259	-0.6124	1.308215307	9601.823
313	DLBCL_Ly3	7	52899	138426	4	0.2708	2.41295331	85.527
314	DLBCL_Ly3	7	138445	160848	29	-0.6931	1.23704673	22.403
315	DLBCL_Ly3	7	163387	163730	2	-3.1651	0.222966674	0.343
316	DLBCL_Ly3	7	166359	3121336	1220	-0.4983	1.415880983	2954.977
317	DLBCL_Ly3	7	3121770	4468869	1201	-0.6414	1.282181057	1347.099
318	DLBCL_Ly3	7	4469953	13271266	6441	-0.5126	1.401916089	8801.313
319	DLBCL_Ly3	7	13274410	13282051	5	-2.9359	0.26135814	7.641
320	DLBCL_Ly3	7	13282218	28846234	12381	-0.4835	1.430480667	15564.016
321	DLBCL_Ly3	7	28849110	28849996	2	-4.4561	0.09111927	0.886
322	DLBCL_Ly3	7	28853096	32319079	2642	-0.5497	1.366324346	3465.983
323	DLBCL_Ly3	7	32320751	32453505	131	-1.1884	0.877578447	132.754
324	DLBCL_Ly3	7	32453901	33843022	823	-0.4978	1.416371775	1389.121
325	DLBCL_Ly3	7	33845031	34749810	627	-0.1969	1.744846351	904.779
326	DLBCL_Ly3	7	34750422	38257206	2590	-0.0432	1.940999841	3506.784
327	DLBCL_Ly3	7	38257239	38325253	108	0.6262	3.086988268	68.014
328	DLBCL_Ly3	7	38325481	43559027	3618	-0.0865	1.883609625	5233.546
329	DLBCL_Ly3	7	43559464	45239789	863	0.0395	2.055515143	1680.325
330	DLBCL_Ly3	7	45243020	54347855	6766	-0.0835	1.887530557	9104.835
331	DLBCL_Ly3	7	54353987	54353999	6	-2.4306	0.370976576	0.012
332	DLBCL_Ly3	7	54360970	56157875	1313	-0.0324	1.955584669	1796.905
333	DLBCL_Ly3	7	56161137	61933662	960	-0.1322	1.824877978	5772.525
334	DLBCL_Ly3	7	61962290	61962291	2	2.3556	10.23614086	0.001
335	DLBCL_Ly3	7	61962936	64024522	863	-0.1	1.866065983	2061.586
